Sous-type avion;AH;BA;DL;IB;LH;LX;OS;QR;SN;TK;UA;AA;AC;AY;AZ;B6;BR;CX;EK;EY;FB;GF;HC;JU;KL;KM;LA;LG;OG;OU;SQ;SV;TS;U2;VY;A3;AM;FI;GQ;KU;ME;MU;RO;TG;VN;MK;MS;OK;RJ;CA;JL;KQ;LO;ET;KE;AT;EC;OZ;BT;SK;LY;BJ;UK;EW;N0;CZ;DY;LS;D8;XQ;WS;TN;A9;WB;UL;CY;UU;3O;HU;J2;TU;5F;EI;MF;IR;5O;S4;OE;W6;PC;SM;VR;HY;VF;T3;FT
0;170;178;303;181;153;124;171;386;168;246;273;272;380;189;122;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;194;183;278;196;211;284;203;286;161;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
1;170;178;303;181;153;148;171;386;168;246;273;272;380;189;147;155;353;295;523;362;143;177;271;193;174;179;313;77;197;167;263;343;326;0;194;183;278;196;211;284;203;286;161;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;122;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
2;170;178;303;181;153;111;171;386;168;246;273;272;380;189;153;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;194;183;278;196;211;284;203;286;161;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
3;170;178;303;181;153;134;171;386;168;246;273;272;380;189;153;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;194;183;278;196;211;284;203;286;161;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;120;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
4;170;178;303;181;153;162;171;386;168;246;273;272;380;189;153;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;194;183;278;196;211;284;203;286;120;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
5;170;143;303;141;136;162;171;386;141;246;273;272;380;142;140;155;353;295;523;362;144;177;271;160;174;179;313;77;197;150;263;343;326;0;144;143;278;196;211;284;203;286;161;334;308;330;244;172;120;333;244;261;126;345;368;133;0;311;147;152;246;181;299;147;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;122;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
6;170;182;303;181;166;177;179;386;181;184;273;272;380;171;170;155;353;295;523;362;144;177;271;191;174;180;313;77;197;177;263;343;326;0;184;182;278;196;211;284;203;286;161;334;308;330;244;180;154;333;244;261;126;345;368;133;0;311;147;170;246;183;299;176;334;314;188;174;188;189;320;359;251;0;280;180;443;176;294;170;163;180;184;287;250;169;179;180;230;0;186;120;0;0;0;0
7;170;178;303;219;202;214;200;386;168;220;273;272;380;208;153;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;194;204;278;196;211;284;203;286;161;334;308;330;244;172;168;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;200;180;230;0;186;120;0;0;0;0
8;170;174;303;181;174;162;180;386;171;246;273;272;380;189;153;155;353;295;523;362;183;177;271;191;174;177;313;77;197;174;263;343;326;0;190;174;278;196;211;284;203;286;161;334;308;330;244;172;133;333;244;261;126;345;368;133;0;311;147;133;246;180;299;175;334;314;188;174;188;189;320;359;251;0;280;151;443;174;294;146;178;186;184;287;250;169;180;180;230;0;186;120;0;0;0;0
9;170;178;303;181;153;215;171;386;168;180;273;272;380;207;153;155;353;295;523;362;144;177;271;193;174;179;313;77;197;167;263;343;326;0;220;183;278;196;211;284;203;286;161;334;308;330;244;172;169;333;244;261;126;345;368;133;0;311;147;133;246;181;299;168;334;314;188;174;188;189;320;359;251;0;280;151;443;175;294;146;170;186;184;287;250;169;175;180;230;0;186;120;0;0;0;0
